10,34
1,31
41,49
32,46
7,17
26,30
13,42
15,39
27,50
16,38
25,32
5,10
38,44
20,38
22,35
31,38
9,17
29,50
17,30
4,30
12,43
11,23
5,37
4,39
27,34
13,35
26,32
25,34
16,31
19,48
42,50
2,32
25,43
3,6
29,34
8,11
29,43
5,21
31,40
17,23
6,50
27,36
4,50
8,32
27,45
16,24
33,40
25,36
8,50
33,49
1,44
25,45
2,43
29,36
6,34
6,43
5,23
27,29
14,44
1,10
4,43
7,14
36,50
19,43
7,23
25,38
3,10
6,36
31,35
7,44
21,43
10,15
27,31
45,46
19,36
28,48
8,45
1,39
2,47
6,29
6,38
14,21
40,49
12,42
17,32
27,42
10,35
9,37
1,32
2,31
16,30
8,47
25,33
25,42
20,21
3,14
22,27
12,26
23,26
6,40
23,35
1,7
4,40
34,41
36,38
1,16
11,18
28,34
37,46
28,43
25,26
5,41
32,34
19,49
6,15
4,6
26,36
15,36
5,13
6,33
15,45
23,28
16,44
7,41
7,50
19,24
2,17
3,46
8,42
32,36
9,50
32,45
29,37
7,34
1,48
15,47
7,43
1,2
10,14
1,11
10,23
11,22
3,39
9,34
17,47
19,44
13,25
15,22
24,34
15,31
43,47
13,43
15,40
6,37
24,43
2,3
34,38
9,27
2,21
8,37
28,49
15,24
35,36
24,45
1,6
5,22
28,33
12,46
9,38
9,47
33,41
7,22
15,35
25,37
35,38
10,48
21,30
18,31
2,44
4,5
40,46
20,43
31,43
22,40
3,36
4,44
27,48
35,40
1,47
25,48
22,24
10,13
12,32
21,44
9,24
37,40
17,37
9,33
4,46
13,24
